ID;Question;Type;Range;Cardinality;Constraint/Rule;Visible/relevant if
Alg;Which Alg?;Enumeration;Number | Connected | StrongC | Cycle | MSTPrim | MSTKruskal;1:6;"if (Alg.Cycle) {Src* = DFS;}if (Alg.Number) {Src = true;}if (Alg.Connected) {Gtp = Undirected;Src = true;}if (Alg.StrongC) {Gtp = Directed;Src* = DFS;}if (!(!Alg.MSTKruskal && !Alg.MSTPrim)) {Gtp = Undirected;Wgt = Weighted;}if (Alg.MSTKruskal) {disAllow(Alg.MSTPrim);}";true
Gtp;Which Gtp?;Enumeration;Directed | Undirected;1:1;;true
HiddenGtp;Which HiddenGtp?;Enumeration;DirectedWithEdges | DirectedWithNeighbors | DirectedOnlyVertices | UndirectedWithEdges | UndirectedWithNeighbors | UndirectedOnlyVertices;1:1;"if (!(HiddenGtp.DirectedWithNeighbors || !Implementation.WithNeighbors)) {disAllow(Gtp.Directed);}if (!(HiddenGtp.DirectedWithEdges || !Implementation.WithEdges)) {disAllow(Gtp.Directed);}if (!(HiddenGtp.UndirectedOnlyVertices || !Implementation.OnlyVertices)) {disAllow(Gtp.Undirected);}if (!(HiddenGtp.UndirectedWithNeighbors || !Implementation.WithNeighbors)) {disAllow(Gtp.Undirected);}if (!(HiddenGtp.UndirectedWithEdges || !Implementation.WithEdges)) {disAllow(Gtp.Undirected);}if (!(HiddenGtp.DirectedOnlyVertices || !Implementation.OnlyVertices)) {disAllow(Gtp.Directed);}";true
Implementation;Which Implementation?;Enumeration;OnlyVertices | WithNeighbors | WithEdges;1:1;"if (!(WeightedWithNeighbors || !Implementation.WithNeighbors)) {disAllow(Wgt.Weighted);}if (!(WeightedOnlyVertices || !Implementation.OnlyVertices)) {disAllow(Wgt.Weighted);}if (!(HiddenGtp.DirectedWithNeighbors || !Implementation.WithNeighbors)) {disAllow(Gtp.Directed);}if (!(HiddenGtp.DirectedWithEdges || !Implementation.WithEdges)) {disAllow(Gtp.Directed);}if (!(HiddenGtp.UndirectedOnlyVertices || !Implementation.OnlyVertices)) {disAllow(Gtp.Undirected);}if (!(HiddenGtp.UndirectedWithNeighbors || !Implementation.WithNeighbors)) {disAllow(Gtp.Undirected);}if (!(HiddenGtp.UndirectedWithEdges || !Implementation.WithEdges)) {disAllow(Gtp.Undirected);}if (!(HiddenGtp.DirectedOnlyVertices || !Implementation.OnlyVertices)) {disAllow(Gtp.Directed);}";true
Src;Src?;Boolean;true | false;;;true
Src*;Which Src*?;Enumeration;BFS | DFS;1:1;;Src
WeightedOnlyVertices;WeightedOnlyVertices?;Boolean;true | false;;"if (!(WeightedOnlyVertices || !Implementation.OnlyVertices)) {disAllow(Wgt.Weighted);}";true
WeightedWithEdges;WeightedWithEdges?;Boolean;true | false;;"if (!(WeightedWithEdges || !Implementation.WithEdges)) {disAllow(Wgt.Weighted);}";true
WeightedWithNeighbors;WeightedWithNeighbors?;Boolean;true | false;;"if (!(WeightedWithNeighbors || !Implementation.WithNeighbors)) {disAllow(Wgt.Weighted);}";true
Wgt;Which Wgt?;Enumeration;Weighted | Unweighted;1:1;;true
