ID;Question;Type;Range;Cardinality;Constraint/Rule;Visible/relevant if
WastewaterTankXL;WastewaterTankXL?;Boolean;true | false;;if (WastewaterTankXL) { FilterTank = FilterTankXL } if (WastewaterTankXL) { FreshwaterTankType = FreshwaterTankXL };TRUE
WastewaterTankXLModule;WastewaterTankXLModule?;Boolean;true | false;;if (WastewaterTankXLModule) { WastewaterTankXL = true } if (WastewaterTankXLModule) { Valve2 = true } if (WastewaterTankXLModule) { FilterTankModule = FilterTankXLModule } if (WastewaterTankXLModule) { FreshwaterTankModule = FreshwaterTankXLModule };TRUE
Valve;Valve?;Boolean;true | false;;;TRUE
Valve1;Valve1?;Boolean;true | false;;if (Valve1) { Valve = true };Valve
Valve2;Valve2?;Boolean;true | false;;if (Valve2) { Valve = true };Valve
Nanofilter;Nanofilter?;Boolean;true | false;;if (Nanofilter) { disallow(Mount.IronFrame) };TRUE
FreshwaterTank;FreshwaterTank?;Boolean;true | false;;;TRUE
FreshwaterTankType;FreshwaterTankType?;Enumeration;FreshwaterTankS | FreshwaterTankXL;1:1;if (FreshwaterTankType.FreshwaterTankS || FreshwaterTankType.FreshwaterTankXL) { FreshwaterTank = true } if (FreshwaterTankType.FreshwaterTankS) { disallow(Mount.Rack2) } if (FreshwaterTankType.FreshwaterTankXL) { FilterTank = FilterTankXL } if (FreshwaterTankType.FreshwaterTankXL) { WastewaterTankXL = true };FreshwaterTank
Charcoal;Charcoal?;Boolean;true | false;;;TRUE
CharcoalType;CharcoalType?;Enumeration;CharcoalBone | CharcoalActive;1:1;if (CharcoalType.CharcoalBone || CharcoalType.CharcoalActive) { Charcoal = true };Charcoal
Mount;Mount?;Enumeration;IronFrame | Rack1 | Rack2;1:1;;TRUE
FreshwaterTankModule;FreshwaterTankModule?;Enumeration;FreshwaterTankSModule | FreshwaterTankXLModule;1:1;if (FreshwaterTankModule.FreshwaterTankXLModule) { Valve1 = true } if (FreshwaterTankModule.FreshwaterTankXLModule) { Mount = Rack2 } if (FreshwaterTankModule.FreshwaterTankXLModule) { Tube3 = true } if (FreshwaterTankModule.FreshwaterTankSModule) { FreshwaterTankType = FreshwaterTankS } if (FreshwaterTankModule.FreshwaterTankSModule) { Valve1 = true } if (FreshwaterTankModule.FreshwaterTankSModule) { Tube3 = false } if (FreshwaterTankModule.FreshwaterTankSModule) { Valve2 = false } if (FreshwaterTankModule.FreshwaterTankXLModule) { FilterTankModule = FilterTankXLModule } if (FreshwaterTankModule.FreshwaterTankXLModule) { WastewaterTankXL = true };TRUE
FilterTankModule;FilterTankModule?;Enumeration;FilterTankXLModule | FilterTankSModule;1:1;if (FilterTankModule.FilterTankXLModule) { FilterTank = FilterTankXL } if (FilterTankModule.FilterTankSModule) { FilterTank = FilterTankS } if (FilterTankModule.FilterTankXLModule) { FreshwaterTankModule = FreshwaterTankXLModule } if (FilterTankModule.FilterTankXLModule) { WastewaterTankXLModule = true };TRUE
FilterTankXLModule;FilterTankXLModule?;Enumeration;CBFilterTankXLModule | CAFilterTankXLModule;1:1;if (FilterTankXLModule.CAFilterTankXLModule) { FilterTank = FilterTankXL } if (FilterTankXLModule.CAFilterTankXLModule) { CharcoalType = CharcoalActive } if (FilterTankXLModule.CBFilterTankXLModule) { FilterTank = FilterTankXL } if (FilterTankXLModule.CBFilterTankXLModule) { CharcoalType = CharcoalBone };FilterTankModule == FilterTankModule.FilterTankXLModule
FilterTankSModule;FilterTankSModule?;Enumeration;CAFilterTankSModule | CBFilterTankSModule;1:1;if (FilterTankSModule.CAFilterTankSModule) { FilterTank = FilterTankS } if (FilterTankSModule.CAFilterTankSModule) { CharcoalType = CharcoalActive } if (FilterTankSModule.CBFilterTankSModule) { FilterTank = FilterTankS } if (FilterTankSModule.CBFilterTankSModule) { CharcoalType = CharcoalBone };FilterTankModule == FilterTankModule.FilterTankSModule
Tube3;Tube3?;Boolean;true | false;;;TRUE
FilterTank;FilterTank?;Enumeration;FilterTankS | FilterTankXL;1:1;if (FilterTank.FilterTankXL) { FreshwaterTankType = FreshwaterTankXL } if (FilterTank.FilterTankXL) { WastewaterTankXL = true };TRUE
